factor_index,polarity,genre,movie_count,genre_share,mean_factor_loading
10,negative,Horror,5,0.5,-0.38347365260124205
10,negative,Drama,2,0.2,-0.46299342811107635
10,negative,Crime,1,0.1,-0.38461822271347046
10,negative,Sci-Fi,1,0.1,-0.42286813259124756
10,negative,Thriller,1,0.1,-0.38461822271347046
10,positive,Comedy,8,0.5,0.4578777998685837
10,positive,Romance,3,0.1875,0.48524465163548786
10,positive,Drama,2,0.125,0.4478008598089218
10,positive,Action,1,0.0625,0.4504844546318054
10,positive,Documentary,1,0.0625,0.4328138530254364
10,positive,Sci-Fi,1,0.0625,0.4687965512275696
29,negative,Action,6,0.23076923076923078,-0.41944440205891925
29,negative,Sci-Fi,3,0.11538461538461539,-0.4192853073279063
29,negative,War,3,0.11538461538461539,-0.37045954664548236
29,negative,Western,3,0.11538461538461539,-0.4185670216878255
29,negative,Adventure,2,0.07692307692307693,-0.4425428956747055
29,negative,Comedy,2,0.07692307692307693,-0.43800435960292816
29,negative,Drama,2,0.07692307692307693,-0.36871933937072754
29,negative,Romance,2,0.07692307692307693,-0.37681615352630615
29,negative,Thriller,2,0.07692307692307693,-0.38529784977436066
29,negative,Fantasy,1,0.038461538461538464,-0.511145830154419
29,positive,Sci-Fi,5,0.4166666666666667,0.48524802923202515
29,positive,Horror,2,0.16666666666666666,0.4796062409877777
29,positive,Comedy,1,0.08333333333333333,0.4113770127296448
29,positive,Drama,1,0.08333333333333333,0.4296320974826813
29,positive,Mystery,1,0.08333333333333333,0.4687170684337616
29,positive,Thriller,1,0.08333333333333333,0.44386550784111023
29,positive,War,1,0.08333333333333333,0.44386550784111023
33,negative,Horror,5,0.3125,-0.44524147510528567
33,negative,Comedy,2,0.125,-0.5065992176532745
33,negative,Musical,2,0.125,-0.5076098144054413
33,negative,Sci-Fi,2,0.125,-0.4911866933107376
33,negative,Animation,1,0.0625,-0.44116079807281494
33,negative,Children's,1,0.0625,-0.44116079807281494
33,negative,Documentary,1,0.0625,-0.3923657238483429
33,negative,Drama,1,0.0625,-0.42320629954338074
33,negative,Thriller,1,0.0625,-0.43913960456848145
33,positive,Romance,5,0.2777777777777778,0.47970343828201295
33,positive,Comedy,3,0.16666666666666666,0.5094969868659973
33,positive,Drama,3,0.16666666666666666,0.4065166513125102
33,positive,Action,2,0.1111111111111111,0.4566909074783325
33,positive,Thriller,2,0.1111111111111111,0.43412724137306213
33,positive,Adventure,1,0.05555555555555555,0.4477720260620117
33,positive,Crime,1,0.05555555555555555,0.40264469385147095
33,positive,Fantasy,1,0.05555555555555555,0.4477720260620117
101,negative,Comedy,5,0.3125,-0.42916029691696167
101,negative,Action,2,0.125,-0.460581436753273
101,negative,Drama,2,0.125,-0.5170496553182602
101,negative,Thriller,2,0.125,-0.5012754946947098
101,negative,Crime,1,0.0625,-0.4374035596847534
101,negative,Horror,1,0.0625,-0.4374035596847534
101,negative,Mystery,1,0.0625,-0.5547112822532654
101,negative,Sci-Fi,1,0.0625,-0.40371355414390564
101,negative,War,1,0.0625,-0.40371355414390564
101,positive,Comedy,5,0.3125,0.398945677280426
101,positive,Romance,3,0.1875,0.4202687342961629
101,positive,Children's,2,0.125,0.38045834004879
101,positive,Drama,2,0.125,0.3802889883518219
101,positive,Action,1,0.0625,0.39955925941467285
101,positive,Adventure,1,0.0625,0.39955925941467285
101,positive,Horror,1,0.0625,0.37391260266304016
101,positive,Sci-Fi,1,0.0625,0.39955925941467285
123,negative,Comedy,4,0.36363636363636365,-0.4082486256957054
123,negative,Drama,3,0.2727272727272727,-0.3997754653294881
123,negative,Horror,2,0.18181818181818182,-0.46100151538848877
123,negative,Crime,1,0.09090909090909091,-0.4251563251018524
123,negative,Documentary,1,0.09090909090909091,-0.3941378593444824
123,positive,Drama,5,0.4166666666666667,0.4161905884742737
123,positive,Comedy,4,0.3333333333333333,0.4673714265227318
123,positive,Action,3,0.25,0.42886032660802204
